temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
35,0.603429007,4.101680538,0.074873702,1578620.456,822693.8977,22976419518,6179.22066,0.100191072,2.45E-09,0.159968556,0.040179685,0.00102962,0.10507557,0.027719308,0.065836185,2964091.161,344.7525698,4921.289579,1257.93108,500.5329661,37021225.19,0.54054995
36,0.512982938,4.61823488,0.072322816,1.52E+06,876403.436,2.31E+10,6404.18438,0.105972745,2.45E-09,0.164576822,0.043828579,0.000835509,0.103880975,0.021933594,0.058971774,2.59E+06,282.2904774,5040.498594,1363.685786,399.7067278,3.94E+07,0.547879925
37,0.384059043,5.99913883,0.069815683,1.42E+06,937390.0254,2.32E+10,6601.293793,0.112709655,2.50E-09,0.168688153,0.047799468,0.00060123,0.103211993,0.01546442,0.051525079,2.00E+06,204.2841567,5129.195494,1472.098298,283.409634,4.22E+07,0.621707559
38,0.243644946,6.5,0.110924713,494335.5571,360694.131,1.23E+10,2082.318838,0.118,0.293454536,0.121310142,0.036578075,0.000390872,0.000390223,0.009392737,0.038483406,607816.9497,58.25518573,1596.624228,485.6946106,75.50553529,1.511517183,4.33E+07
39,0.108995996,8,0.110646877,424770.046,366726.7204,1.21E+10,2016.511912,0.124,0.305194411,0.120166361,0.03852457,0.000169001,7.70E-05,0.004006396,0.031862227,275757.5801,24.62395452,1524.838662,491.6732506,31.4853301,0.143789172,4.40E+07
40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
