temp,mu,size,NC,phot,resp,totp,chlvol,CL,CP,PL,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu,NC2
19,0.710468212,10.25406599,0.161368747,728507.5422,240242.9974,1.30E+08,1534.659234,5.650456202,0.366160915,15.43162028,7.51E-09,0.169037013,0.072084362,0.006430754,0.002329728,0.005814455,0.090409672,0.153894009,1.16E+06,430.6514252,1406.948306,127.7109282,901.4098312,1.429467061,2.88E+07,0.146992447
20,0.747058666,9.903388599,0.159163328,757110.2063,250679.69,1.29E+08,1606.488786,5.689004657,0.386016113,14.73773884,7.38E-09,0.167255205,0.076570736,0.007308093,0.002354483,0.006005036,0.088850718,0.151655721,1.20E+06,428.904132,1464.215768,142.2730178,872.9961237,1.479873908,3.01E+07,0.143962631
21,0.783832619,9.575026933,0.156908182,785180.2371,261262.6371,1.27E+08,1679.246145,5.727465163,0.406601782,14.08617822,7.23E-09,0.165448621,0.08125496,0.008292948,0.002374195,0.006187402,0.087170755,0.149271112,1.24E+06,426.0207644,1521.104566,158.1415788,843.6684049,1.527658182,3.14E+07,0.140927289
22,0.820455481,9.26873344,0.154606428,812459.3404,271985.5818,1.26E+08,1752.650109,5.766828668,0.427948009,13.47553568,7.06E-09,0.163630686,0.086136886,0.009396501,0.002388178,0.006358397,0.085358626,0.146730719,1.28E+06,421.9126631,1577.275224,175.3748855,813.3734157,1.572007774,3.26E+07,0.137889885
23,0.855990997,8.995785502,0.152241241,837929.9486,282913.3549,124352518.7,1826.31511,5.810253164,0.450525458,12.92424183,6.88E-09,0.161829877,0.091312043,0.010702579,0.002392012,0.006504546,0.083322886,0.143936051,1324709.804,415.7696186,1631.571036,194.7440743,781.4937386,1.609278881,33949598.3,0.134853261
24,0.891526513,8.722837565,0.149876053,863400.5567,293841.1281,1.23E+08,1899.980111,5.85367766,0.473102907,12.37294798,6.70E-09,0.160029068,0.0964872,0.012008657,0.002395846,0.006650695,0.081287145,0.141141382,1.37E+06,409.626574,1685.866848,214.1132631,749.6140614,1.646549989,3.53E+07,0.131821771
25,0.924881862,8.484384405,0.147454135,886315.9686,304977.3505,1.21E+08,1973.016087,5.904812607,0.497042863,11.87988611,6.49E-09,0.158287911,0.101948912,0.013543895,0.00238778,0.006762472,0.078999013,0.138070009,1.40E+06,401.2288916,1737.35026,235.6658264,715.9887464,1.674488445,3.66E+07,0.12879028
26,0.952305808,8.30E+00,1.45E-01,903908.9222,316427.0684,1.20E+08,2042.772402,9.383521589,2.26E-08,4.16E+08,6.25E-09,1.57E-01,1.08E-01,1.54E-02,2.36E-03,6.80E-03,7.63E-02,1.35E-01,1.44E+06,3.89E+02,1.78E+03,2.60E+02,679.6529127,0.000239722,0.049767328,0.125768658
27,0.979729754,8.11E+00,1.42E-01,921501.8758,327876.7864,1.18E+08,2112.528718,138.5471672,7.95E-06,1.74E+07,5.99E-09,1.55E-01,1.14E-01,1.75E-02,2.32E-03,6.81E-03,7.35E-02,1.31E-01,1.47E+06,3.77E+02,1.83E+03,2.84E+02,642.3004448,0.004289787,49.11462488,0.122747036
28,1.0071537,7.924625928,0.140004321,939094.8294,339326.5043,1.16E+08,2182.285033,6.122740788,0.575591952,10.63729395,5.76E-09,0.153641262,0.119409017,0.019244302,0.002303547,0.006885448,0.070919297,0.127597121,1.51E+06,365.5285555,1873.494687,308.7903461,606.9812453,1.704675452,4.07E+07,0.119732586
29,1.025231682,7.799277262,0.137473149,949366.4394,351143.3577,1.15E+08,2246.039872,6.231314224,0.60455819,10.30721993,5.48E-09,0.152405226,0.125558267,0.021563828,0.002251393,0.006829102,0.067753276,0.123638901,1.53E+06,349.6820375,1910.353178,335.6866944,567.5955091,1.691694587,4.21E+07,0.116721945
30,1.036443079,7.712310511,0.1349262,954796.5849,363179.1487,1.13E+08,2305.085593,6.368597677,0.635288096,10.02473951,5.18E-09,0.151398774,0.131853404,0.024122421,0.00218487,0.006708082,0.064311881,0.119420562,1.55E+06,331.6432779,1941.527439,363.5581533,526.5303671,1.664479323,4.36E+07,0.113714783
31,1.039113247,7.671389882,0.132370068,954576.9595,375457.8193,1.11E+08,2358.173061,6.544502808,0.668078076,9.796014927,4.86E-09,0.150674196,0.138280645,0.026938961,0.002102381,0.006511155,0.060568241,0.114924416,1.56E+06,311.2973395,1966.042997,392.1300636,483.7218895,1.621457569,4.51E+07,0.11070762
32,1.031274758,7.687655391,0.12981345,947852.1137,388002.3055,1.09E+08,2403.90847,6.772948389,0.703280107,9.630513247,4.15E-09,0.150289726,0.144824472,0.030033165,0.002002176,0.006226191,0.056492845,0.110131421,1.55E+06,288.5546877,1982.863691,421.0447792,439.1429579,1.435703289,4.66E+07,0.107703758
33,1.01062046,7.777850979,0.127268363,933746.9142,400831.4837,1.07E+08,2440.774382,7.07430345,0.74130442,9.543047707,4.15E-09,0.150309638,0.15146755,0.033425598,0.001882349,0.005840582,0.05205323,0.10502105,1.54E+06,263.3649105,1990.920261,449.8541215,392.8187594,1.482495128,4.81E+07,0.104704446
34,0.974447958,7.968324393,0.124752254,911407.8812,413956.6816,1.04E+08,2467.172086,7.48000289,0.782619589,9.557648434,0,0.150804195,0.158190549,0.037137698,0.00174081,0.005342047,0.047213557,0.099571144,1.50E+06,235.7327933,1989.15558,478.0165068,344.8435706,0,4.97E+07,0.101715071
35,0.90839543,8.41565096,0.122337366,875227.9959,427511.9834,101661931.3,2474.646348,8.166715749,0.829931411,9.824989454,0,0.152164755,0.164988135,0.041374422,0.001562012,0.004655854,0.041691826,0.093562996,1424798.077,204.6314624,1970.745392,503.9009555,294.7965763,0,51301438.01,0.098745749
36,0.842342903,8.862977528,0.119922478,839048.1106,441067.2853,9.91E+07,2482.120609,8.853428607,0.877243232,10.09233047,0,0.153525315,0.171785721,0.045611147,0.001383214,0.003969662,0.036170094,0.087554848,1.35E+06,173.5301315,1952.335204,529.7854042,244.749582,0,5.29E+07,0.095813641
37,0.738331906,9.81192058,0.117710506,787976.6022,454988.6282,9.62E+07,2467.72768,10.10442654,0.931688748,10.84528128,0,0.155915612,0.17860216,0.050419847,0.001161844,0.003095363,0.029870672,0.080934502,1.22E+06,139.3824481,1915.820507,551.9071723,193.2822698,0,5.46E+07,0.092943722
38,0.602379272,11.54966011,0.115755254,726728.2681,469063.1051,9.31E+07,2437.197419,12.254399,0.991629688,12.35783796,1.43E-09,0.159101752,0.185380826,0.055642567,0.000908001,0.00212435,0.022975932,0.073866569,1.04E+06,103.6483194,1866.737428,570.4599906,141.4606147,0.563513271,5.63E+07,0.090160754
39,0.428244248,15.37385621,0.114216863,655584.6613,483176.9091,8.99E+07,2389.857973,16.79268515,1.057509843,15.87945991,9.07E-10,0.163154315,0.192062722,0.061303648,0.000617997,0.001129897,0.015412125,0.066319295,778863.3312,66.76749261,1805.212428,584.6455449,89.81069121,0.360312956,5.80E+07,NA
40,0.208165635,29.29313421,0.113186663,575303.3594,497166.9469,8.66E+07,2325.569651,32.90365051,1.12952017,29.13064448,3.96E-10,0.168110157,0.198547827,0.067424453,0.000287245,0.000288755,0.007080676,0.058260886,408916.1547,29.21237768,1731.874817,593.6948342,38.83966036,0.157170666,5.97E+07,NA
41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
